Day,Susceptible,Infected,Recovered,Change in Susceptibles,New Infections,New Recoveries,Gamma Rate,Beta Rate,Predicted New Recoveries
0,990,10,0,,,,0.1,0.30303030303030304,1.0006478314016616
1,987,12,1,-3.0,2.0,1.0,0.08333333333333333,0.33772374197906113,1.200777397681994
2,983,14,2,-4.0,2.0,1.0,0.14285714285714285,0.29065542799011773,1.4009069639623262
3,979,17,4,-4.0,3.0,2.0,0.058823529411764705,0.3004266057802079,1.7011013133828248
4,974,20,5,-5.0,3.0,1.0,0.1,0.3080082135523614,2.001295662803323
5,968,24,7,-6.0,4.0,2.0,0.125,0.3013085399449036,2.401554795363988
6,961,29,10,-7.0,5.0,3.0,0.10344827586206896,0.2870573038142739,2.9018787110648185
7,953,34,13,-8.0,5.0,3.0,0.08823529411764706,0.3086229245108327,3.4022026267656496
8,943,41,16,-10.0,7.0,3.0,0.0975609756097561,0.3103742596280682,4.102656108746813
9,931,48,20,-12.0,7.0,4.0,0.10416666666666667,0.29090583601861797,4.803109590727976
10,918,57,25,-13.0,9.0,5.0,0.10526315789473684,0.30577533157512515,5.703692638989471
11,902,67,31,-16.0,10.0,6.0,0.08955223880597014,0.29784558361187413,6.7043404703911325
12,884,78,37,-18.0,11.0,6.0,0.10256410256410256,0.3045596936999652,7.80505308493296
13,863,91,45,-21.0,13.0,8.0,0.0989010989010989,0.2928705130327378,9.105895265755121
14,840,106,54,-23.0,15.0,9.0,0.10377358490566038,0.3032345013477089,10.606867012857613
15,813,122,65,-27.0,16.0,11.0,0.09836065573770492,0.30246204101385277,12.207903543100272
16,783,140,77,-30.0,18.0,12.0,0.1,0.30103995621237,14.009069639623263
17,750,158,91,-33.0,18.0,14.0,0.10126582278481013,0.29535864978902954,15.810235736146254
18,715,178,107,-35.0,20.0,16.0,0.10112359550561797,0.2985778266677143,17.811531398949576
19,677,199,125,-38.0,21.0,18.0,0.10050251256281408,0.30432813996125385,19.912891844893068
20,636,219,145,-41.0,20.0,20.0,0.1004566210045662,0.3015421728267425,21.91418750769639
21,594,239,167,-42.0,20.0,22.0,0.100418410041841,0.29584548413000294,23.915483170499712
22,552,258,191,-42.0,19.0,24.0,0.09689922480620156,0.30193236714975846,25.81671405016287
23,509,275,216,-43.0,17.0,25.0,0.10181818181818182,0.30005358099660656,27.517815363545694
24,467,289,244,-42.0,14.0,28.0,0.10034602076124567,0.29637752569222675,28.91872232750802
25,427,301,273,-40.0,12.0,29.0,0.09966777408637874,0.3034381880849938,30.119499725190014
26,388,309,303,-39.0,8.0,30.0,0.10032362459546926,0.300270243218897,30.920017990311344
27,352,314,334,-36.0,5.0,31.0,0.09872611464968153,0.29856687898089174,31.420341906012176
28,319,316,365,-33.0,2.0,31.0,0.10126582278481013,0.2976072378080235,31.620471472292508
29,289,315,397,-30.0,-1.0,32.0,0.09841269841269841,0.2965892239248641,31.520406689152342
30,262,310,428,-27.0,-5.0,31.0,0.1,0.3078059591233686,31.02008277345151
31,237,304,459,-25.0,-6.0,31.0,0.10197368421052631,0.2914723517654897,30.41969407461051
32,216,295,490,-21.0,-9.0,31.0,0.09830508474576272,0.31387319522912743,29.519111026349016
33,196,285,519,-20.0,-10.0,29.0,0.09824561403508772,0.2864303616183315,28.518463194947355
34,180,273,547,-16.0,-12.0,28.0,0.10256410256410256,0.3052503052503053,27.317685797265362
35,165,260,575,-15.0,-13.0,28.0,0.1,0.30303030303030304,26.0168436164432
36,152,247,601,-13.0,-13.0,26.0,0.09716599190283401,0.29298955891753675,24.716001435621042
37,141,234,625,-11.0,-13.0,24.0,0.10256410256410256,0.3030854094683882,23.415159254798883
38,131,220,649,-10.0,-14.0,24.0,0.1,0.31228313671061764,22.014252290836556
39,122,207,671,-9.0,-13.0,22.0,0.10144927536231885,0.277183812465352,20.713410110014394
40,115,194,692,-7.0,-13.0,21.0,0.0979381443298969,0.31376064545047067,19.412567929192235
41,108,181,711,-7.0,-13.0,19.0,0.09944751381215469,0.3069367710251688,18.111725748370077
42,102,169,729,-6.0,-12.0,18.0,0.10059171597633136,0.290056851142824,16.91094835068808
43,97,157,746,-5.0,-12.0,17.0,0.10191082802547771,0.3283209665769256,15.710170953006088
44,92,146,762,-5.0,-11.0,16.0,0.0958904109589041,0.29779630732578916,14.60945833846426
45,88,135,776,-4.0,-11.0,14.0,0.1037037037037037,0.25252525252525254,13.508745723922432
46,85,125,790,-3.0,-10.0,14.0,0.096,0.2823529411764706,12.50809789252077
47,82,116,802,-3.0,-9.0,12.0,0.10344827586206896,0.3153910849453322,11.607514844259274
48,79,107,814,-3.0,-9.0,12.0,0.102803738317757,0.35490358452620374,10.706931795997779
49,76,99,825,-3.0,-8.0,11.0,0.10101010101010101,0.2658160552897395,9.90641353087645
50,74,91,835,-2.0,-8.0,10.0,0.0989010989010989,0.297000297000297,9.105895265755121
51,72,84,844,-2.0,-7.0,9.0,0.09523809523809523,0.3306878306878307,8.405441783773957
52,70,78,852,-2.0,-6.0,8.0,0.10256410256410256,0.3663003663003663,7.80505308493296
53,68,72,860,-2.0,-6.0,8.0,0.09722222222222222,0.2042483660130719,7.204664386091964
54,67,66,867,-1.0,-6.0,7.0,0.10606060606060606,0.2261420171867933,6.604275687250967
55,66,61,874,-1.0,-5.0,7.0,0.09836065573770492,0.49677098857426727,6.103951771550136
56,64,56,880,-2.0,-5.0,6.0,0.08928571428571429,0.27901785714285715,5.603627855849305
57,63,51,885,-1.0,-5.0,5.0,0.09803921568627451,0.3112356053532524,5.103303940148474
58,62,47,890,-1.0,-4.0,5.0,0.10638297872340426,0.0,4.703044807587809
59,62,43,895,0.0,-4.0,5.0,0.09302325581395349,0.37509377344336087,4.3027856750271445
60,61,40,899,-1.0,-3.0,4.0,0.1,0.4098360655737705,4.002591325606646
61,60,37,903,-1.0,-3.0,4.0,0.10810810810810811,0.45045045045045046,3.702396976186148
62,59,34,907,-1.0,-3.0,4.0,0.08823529411764706,0.0,3.4022026267656496
63,59,31,910,0.0,-3.0,3.0,0.12903225806451613,0.5467468562055768,3.102008277345151
64,58,28,914,-1.0,-3.0,4.0,0.07142857142857142,0.0,2.8018139279246523
65,58,26,916,0.0,-2.0,2.0,0.11538461538461539,0.6631299734748011,2.6016843616443204
66,57,24,919,-1.0,-2.0,3.0,0.08333333333333333,0.0,2.401554795363988
67,57,22,921,0.0,-2.0,2.0,0.09090909090909091,0.0,2.2014252290836556
68,57,20,923,0.0,-2.0,2.0,0.1,0.8771929824561403,2.001295662803323
69,56,18,925,-1.0,-2.0,2.0,0.1111111111111111,0.0,1.801166096522991
70,56,17,927,0.0,-1.0,2.0,0.11764705882352941,0.0,1.7011013133828248
71,56,15,929,0.0,-2.0,2.0,0.13333333333333333,1.1904761904761905,1.5009717471024924
72,55,14,931,-1.0,-1.0,2.0,0.07142857142857142,0.0,1.4009069639623262
73,55,13,932,0.0,-1.0,1.0,0.07692307692307693,0.0,1.3008421808221602
74,55,12,933,0.0,-1.0,1.0,0.08333333333333333,0.0,1.200777397681994
75,55,11,934,0.0,-1.0,1.0,0.18181818181818182,0.0,1.1007126145418278
76,55,10,936,0.0,-1.0,2.0,0.1,1.8181818181818181,1.0006478314016616
77,54,9,937,-1.0,-1.0,1.0,0.0,0.0,0.9005830482614955
78,54,8,937,0.0,-1.0,0.0,0.125,0.0,0.8005182651213293
79,54,8,938,0.0,0.0,1.0,0.125,0.0,0.8005182651213293
80,54,7,939,0.0,-1.0,1.0,0.14285714285714285,0.0,0.7004534819811631
81,54,6,940,0.0,-1.0,1.0,0.0,0.0,0.600388698840997
82,54,6,940,0.0,0.0,0.0,0.16666666666666666,0.0,0.600388698840997
83,54,5,941,0.0,-1.0,1.0,0.2,0.0,0.5003239157008308
84,54,5,942,0.0,0.0,1.0,0.0,3.7037037037037037,0.5003239157008308
85,53,5,942,-1.0,0.0,0.0,0.0,0.0,0.5003239157008308
86,53,4,942,0.0,-1.0,0.0,0.25,0.0,0.40025913256066464
87,53,4,943,0.0,0.0,1.0,0.0,0.0,0.40025913256066464
88,53,3,943,0.0,-1.0,0.0,0.3333333333333333,0.0,0.3001943494204985
89,53,3,944,0.0,0.0,1.0,0.0,0.0,0.3001943494204985
90,53,3,944,0.0,0.0,0.0,0.0,0.0,0.3001943494204985
91,53,3,944,0.0,0.0,0.0,0.0,0.0,0.3001943494204985
92,53,2,944,0.0,-1.0,0.0,0.5,0.0,0.20012956628033232
93,53,2,945,0.0,0.0,1.0,0.0,0.0,0.20012956628033232
94,53,2,945,0.0,0.0,0.0,0.0,0.0,0.20012956628033232
95,53,2,945,0.0,0.0,0.0,0.0,0.0,0.20012956628033232
96,53,2,945,0.0,0.0,0.0,0.5,0.0,0.20012956628033232
97,53,2,946,0.0,0.0,1.0,0.0,0.0,0.20012956628033232
98,53,1,946,0.0,-1.0,0.0,0.0,0.0,0.10006478314016616
99,53,1,946,0.0,0.0,0.0,0.0,0.0,0.10006478314016616
100,53,1,946,0.0,0.0,0.0,,,0.10006478314016616
